img1_index,img2_index,img1_name,img2_name,inliers,overlap
24,27,frame000024.png,frame000027.png,726,0.37851929092805003
24,28,frame000024.png,frame000028.png,520,0.2711157455683003
24,29,frame000024.png,frame000029.png,382,0.1991657977059437
24,30,frame000024.png,frame000030.png,254,0.132429614181439
24,31,frame000024.png,frame000031.png,203,0.10583941605839416
24,32,frame000024.png,frame000032.png,194,0.10114702815432743
24,33,frame000024.png,frame000033.png,146,0.07612095933263817
24,34,frame000024.png,frame000034.png,109,0.05844504021447721
24,39,frame000024.png,frame000039.png,87,0.04535974973931178
24,42,frame000024.png,frame000042.png,82,0.04275286757038582
25,26,frame000025.png,frame000026.png,872,0.45204769310523585
25,27,frame000025.png,frame000027.png,771,0.390973630831643
25,28,frame000025.png,frame000028.png,545,0.2779194288628251
25,29,frame000025.png,frame000029.png,335,0.16987829614604463
25,30,frame000025.png,frame000030.png,265,0.1343813387423935
25,31,frame000025.png,frame000031.png,234,0.11944869831546708
25,32,frame000025.png,frame000032.png,183,0.09279918864097363
25,33,frame000025.png,frame000033.png,154,0.07966890843248836
25,34,frame000025.png,frame000034.png,98,0.05254691689008043
25,38,frame000025.png,frame000038.png,95,0.048174442190669374
25,39,frame000025.png,frame000039.png,121,0.06135902636916836
25,40,frame000025.png,frame000040.png,110,0.055780933062880324
25,41,frame000025.png,frame000041.png,107,0.05425963488843814
25,42,frame000025.png,frame000042.png,115,0.05831643002028398
25,43,frame000025.png,frame000043.png,109,0.0552738336713996
25,44,frame000025.png,frame000044.png,92,0.04665314401622718
26,27,frame000026.png,frame000027.png,850,0.4406428201140487
26,28,frame000026.png,frame000028.png,581,0.3011923276308968
26,29,frame000026.png,frame000029.png,423,0.2192846034214619
26,30,frame000026.png,frame000030.png,279,0.14463452566096424
26,31,frame000026.png,frame000031.png,221,0.11456713322965267
26,32,frame000026.png,frame000032.png,198,0.1026438569206843
26,33,frame000026.png,frame000033.png,180,0.09331259720062209
26,34,frame000026.png,frame000034.png,117,0.06273458445040214
26,37,frame000026.png,frame000037.png,88,0.04795640326975477
26,38,frame000026.png,frame000038.png,96,0.049766718506998445
26,39,frame000026.png,frame000039.png,117,0.060653188180404355
26,40,frame000026.png,frame000040.png,97,0.05028512182477968
26,41,frame000026.png,frame000041.png,94,0.04872991187143598
26,42,frame000026.png,frame000042.png,108,0.05598755832037325
26,43,frame000026.png,frame000043.png,96,0.049766718506998445
26,44,frame000026.png,frame000044.png,80,0.041472265422498704
27,28,frame000027.png,frame000028.png,692,0.3528811830698623
27,29,frame000027.png,frame000029.png,469,0.23321730482347092
27,30,frame000027.png,frame000030.png,385,0.1903114186851211
27,31,frame000027.png,frame000031.png,261,0.1332312404287902
27,32,frame000027.png,frame000032.png,253,0.1270718232044199
27,33,frame000027.png,frame000033.png,194,0.10036213140196586
27,34,frame000027.png,frame000034.png,131,0.07024128686327077
27,35,frame000027.png,frame000035.png,85,0.05077658303464755
27,37,frame000027.png,frame000037.png,102,0.0555858310626703
27,38,frame000027.png,frame000038.png,119,0.058823529411764705
27,39,frame000027.png,frame000039.png,123,0.060800790904597134
27,40,frame000027.png,frame000040.png,120,0.05931784478497281
27,41,frame000027.png,frame000041.png,105,0.05190311418685121
27,42,frame000027.png,frame000042.png,123,0.060800790904597134
27,43,frame000027.png,frame000043.png,113,0.055857637172516066
27,44,frame000027.png,frame000044.png,80,0.039545229856648545
27,46,frame000027.png,frame000046.png,81,0.04003954522985665
28,29,frame000028.png,frame000029.png,764,0.38959714431412545
28,30,frame000028.png,frame000030.png,517,0.2636409994900561
28,31,frame000028.png,frame000031.png,436,0.22256253190403266
28,32,frame000028.png,frame000032.png,348,0.1774604793472718
28,33,frame000028.png,frame000033.png,292,0.15106052767718572
28,34,frame000028.png,frame000034.png,182,0.09758713136729223
28,35,frame000028.png,frame000035.png,151,0.09020310633213859
28,36,frame000028.png,frame000036.png,108,0.07831762146482958
28,37,frame000028.png,frame000037.png,139,0.07574931880108991
28,38,frame000028.png,frame000038.png,161,0.08210096889342172
28,39,frame000028.png,frame000039.png,148,0.07547169811320754
28,40,frame000028.png,frame000040.png,127,0.0647628760836308
28,41,frame000028.png,frame000041.png,128,0.06527281998980113
28,42,frame000028.png,frame000042.png,130,0.06629270780214176
28,43,frame000028.png,frame000043.png,99,0.0504844467108618
29,30,frame000029.png,frame000030.png,857,0.426156141223272
29,31,frame000029.png,frame000031.png,657,0.33537519142419603
29,32,frame000029.png,frame000032.png,589,0.2958312405826218
